"STATISTIC Label","Year","Single year of age","Females","Males","All persons"
"Mid-year population estimate",2007,"11",11691,12532,24223
"Mid-year population estimate",2007,"12",11938,12655,24593
"Mid-year population estimate",2007,"13",12279,12636,24915
"Mid-year population estimate",2007,"14",12329,12665,24994
"Mid-year population estimate",2007,"15",12441,13073,25514
"Mid-year population estimate",2007,"16",12692,13299,25991
"Mid-year population estimate",2007,"17",12789,13299,26088
"Mid-year population estimate",2007,"18",12846,13514,26360
"Mid-year population estimate",2007,"19",12840,13287,26127
"Mid-year population estimate",2007,"20",12388,12840,25228
"Mid-year population estimate",2007,"21",12488,12821,25309
"Mid-year population estimate",2007,"22",12543,12765,25308
"Mid-year population estimate",2007,"23",12413,12368,24781
"Mid-year population estimate",2007,"24",12519,12444,24963
"Mid-year population estimate",2007,"25",12185,11895,24080
"Mid-year population estimate",2007,"26",12393,12022,24415
"Mid-year population estimate",2007,"27",12415,12209,24624
"Mid-year population estimate",2007,"28",12139,11471,23610
"Mid-year population estimate",2007,"29",11746,11116,22862
"Mid-year population estimate",2007,"30",11511,11011,22522
"Mid-year population estimate",2007,"31",11616,11323,22939
"Mid-year population estimate",2007,"32",11745,11387,23132
"Mid-year population estimate",2007,"33",12240,11747,23987
"Mid-year population estimate",2007,"34",12772,12309,25081
"Mid-year population estimate",2007,"35",12804,12530,25334
"Mid-year population estimate",2007,"36",13238,12668,25906
"Mid-year population estimate",2007,"37",13189,12803,25992
"Mid-year population estimate",2007,"38",13374,12831,26205
"Mid-year population estimate",2007,"39",13476,13095,26571
"Mid-year population estimate",2007,"40",13513,12981,26494
"Mid-year population estimate",2007,"41",13484,13187,26671
"Mid-year population estimate",2007,"42",13780,13302,27082
"Mid-year population estimate",2007,"43",13557,13181,26738
"Mid-year population estimate",2007,"44",13012,12891,25903
"Mid-year population estimate",2007,"45",12908,12443,25351
"Mid-year population estimate",2007,"46",12692,12381,25073
"Mid-year population estimate",2007,"47",12290,11880,24170
"Mid-year population estimate",2007,"48",11908,11531,23439
"Mid-year population estimate",2007,"49",11752,11480,23232
"Mid-year population estimate",2007,"50",11286,11060,22346
"Mid-year population estimate",2007,"51",10805,10810,21615
"Mid-year population estimate",2007,"52",10130,10346,20476
"Mid-year population estimate",2007,"53",9983,10334,20317
"Mid-year population estimate",2007,"54",9960,10030,19990
"Mid-year population estimate",2007,"55",9601,9561,19162
"Mid-year population estimate",2007,"56",9609,9607,19216
"Mid-year population estimate",2007,"57",9801,9520,19321
"Mid-year population estimate",2007,"58",9692,9517,19209
"Mid-year population estimate",2007,"59",9840,9332,19172
"Mid-year population estimate",2007,"60",10005,9466,19471
"Mid-year population estimate",2007,"61",9229,8795,18024
"Mid-year population estimate",2007,"62",9079,8566,17645
"Mid-year population estimate",2007,"63",9123,8668,17791
"Mid-year population estimate",2007,"64",8966,8393,17359
"Mid-year population estimate",2007,"65",8012,7524,15536
"Mid-year population estimate",2007,"66",7365,6769,14134
"Mid-year population estimate",2007,"67",7276,6609,13885
"Mid-year population estimate",2007,"68",7351,6576,13927
"Mid-year population estimate",2007,"69",7110,6369,13479
"Mid-year population estimate",2007,"70",7080,6165,13245
"Mid-year population estimate",2007,"71",6806,5800,12606
"Mid-year population estimate",2007,"72",6406,5451,11857
"Mid-year population estimate",2007,"73",6191,5136,11327
"Mid-year population estimate",2007,"74",6213,4842,11055
"Mid-year population estimate",2007,"75",6009,4632,10641
"Mid-year population estimate",2007,"76",5977,4379,10356
"Mid-year population estimate",2007,"77",5677,4006,9683
"Mid-year population estimate",2007,"78",5356,3720,9076
"Mid-year population estimate",2007,"79",5123,3352,8475
"Mid-year population estimate",2007,"80",4956,3214,8170
"Mid-year population estimate",2007,"81",4684,2873,7557
"Mid-year population estimate",2007,"82",4328,2631,6959
"Mid-year population estimate",2007,"83",3951,2282,6233
"Mid-year population estimate",2007,"84",3803,1978,5781
"Mid-year population estimate",2007,"85",3423,1684,5107
"Mid-year population estimate",2007,"86",3046,1506,4552
"Mid-year population estimate",2007,"87",2749,1354,4103
"Mid-year population estimate",2007,"88",2104,968,3072
"Mid-year population estimate",2007,"89",1699,675,2374
"Mid-year population estimate",2007,"90",6702,2036,8738
"Mid-year population estimate",2007,"All",899427,862256,1761683
"Mid-year population estimate",2008,"0",12283,12954,25237
"Mid-year population estimate",2008,"1",11701,12407,24108
"Mid-year population estimate",2008,"2",11324,11852,23176
"Mid-year population estimate",2008,"3",11122,11770,22892
"Mid-year population estimate",2008,"4",10861,11581,22442
"Mid-year population estimate",2008,"5",10668,11210,21878
"Mid-year population estimate",2008,"6",10696,11156,21852
"Mid-year population estimate",2008,"7",10753,11353,22106
"Mid-year population estimate",2008,"8",11056,11924,22980
"Mid-year population estimate",2008,"9",11673,12249,23922
"Mid-year population estimate",2008,"10",11776,12397,24173
"Mid-year population estimate",2008,"11",12078,12570,24648
"Mid-year population estimate",2008,"12",11783,12587,24370
"Mid-year population estimate",2008,"13",11968,12703,24671
"Mid-year population estimate",2008,"14",12334,12691,25025
"Mid-year population estimate",2008,"15",12343,12662,25005
"Mid-year population estimate",2008,"16",12445,13052,25497
"Mid-year population estimate",2008,"17",12686,13277,25963
"Mid-year population estimate",2008,"18",12826,13329,26155
"Mid-year population estimate",2008,"19",12549,13138,25687
"Mid-year population estimate",2008,"20",12458,12778,25236
"Mid-year population estimate",2008,"21",12510,12812,25322
"Mid-year population estimate",2008,"22",12715,12804,25519
"Mid-year population estimate",2008,"23",12747,12793,25540
"Mid-year population estimate",2008,"24",12589,12452,25041
"Mid-year population estimate",2008,"25",12735,12534,25269
"Mid-year population estimate",2008,"26",12498,12073,24571
"Mid-year population estimate",2008,"27",12700,12214,24914
"Mid-year population estimate",2008,"28",12695,12398,25093
"Mid-year population estimate",2008,"29",12363,11566,23929
"Mid-year population estimate",2008,"30",11891,11273,23164
"Mid-year population estimate",2008,"31",11610,11148,22758
"Mid-year population estimate",2008,"32",11730,11402,23132
"Mid-year population estimate",2008,"33",11912,11514,23426
"Mid-year population estimate",2008,"34",12381,11849,24230
"Mid-year population estimate",2008,"35",12801,12320,25121
"Mid-year population estimate",2008,"36",12872,12611,25483
"Mid-year population estimate",2008,"37",13275,12695,25970
"Mid-year population estimate",2008,"38",13228,12781,26009
"Mid-year population estimate",2008,"39",13397,12905,26302
"Mid-year population estimate",2008,"40",13551,13153,26704
"Mid-year population estimate",2008,"41",13561,13032,26593
"Mid-year population estimate",2008,"42",13509,13224,26733
"Mid-year population estimate",2008,"43",13808,13275,27083
"Mid-year population estimate",2008,"44",13572,13222,26794
"Mid-year population estimate",2008,"45",13034,12963,25997
"Mid-year population estimate",2008,"46",12935,12487,25422
"Mid-year population estimate",2008,"47",12680,12414,25094
"Mid-year population estimate",2008,"48",12294,11883,24177
"Mid-year population estimate",2008,"49",11917,11540,23457
"Mid-year population estimate",2008,"50",11754,11485,23239
"Mid-year population estimate",2008,"51",11271,11066,22337
"Mid-year population estimate",2008,"52",10776,10769,21545
"Mid-year population estimate",2008,"53",10117,10324,20441
"Mid-year population estimate",2008,"54",9957,10311,20268
"Mid-year population estimate",2008,"55",9938,9979,19917
"Mid-year population estimate",2008,"56",9571,9541,19112
"Mid-year population estimate",2008,"57",9567,9565,19132
"Mid-year population estimate",2008,"58",9738,9496,19234
"Mid-year population estimate",2008,"59",9660,9453,19113
"Mid-year population estimate",2008,"60",9777,9260,19037
"Mid-year population estimate",2008,"61",9941,9364,19305
"Mid-year population estimate",2008,"62",9167,8719,17886
"Mid-year population estimate",2008,"63",9045,8517,17562
"Mid-year population estimate",2008,"64",9075,8579,17654
"Mid-year population estimate",2008,"65",8886,8271,17157
"Mid-year population estimate",2008,"66",7939,7401,15340
"Mid-year population estimate",2008,"67",7289,6643,13932
"Mid-year population estimate",2008,"68",7199,6489,13688
"Mid-year population estimate",2008,"69",7258,6457,13715
"Mid-year population estimate",2008,"70",7019,6225,13244
"Mid-year population estimate",2008,"71",6965,6006,12971
"Mid-year population estimate",2008,"72",6678,5625,12303
"Mid-year population estimate",2008,"73",6284,5297,11581
"Mid-year population estimate",2008,"74",6053,4958,11011
"Mid-year population estimate",2008,"75",6060,4664,10724
"Mid-year population estimate",2008,"76",5856,4430,10286
"Mid-year population estimate",2008,"77",5744,4170,9914
"Mid-year population estimate",2008,"78",5484,3788,9272
"Mid-year population estimate",2008,"79",5149,3491,8640
"Mid-year population estimate",2008,"80",4905,3121,8026
"Mid-year population estimate",2008,"81",4691,2973,7664
"Mid-year population estimate",2008,"82",4394,2602,6996
"Mid-year population estimate",2008,"83",4024,2343,6367
"Mid-year population estimate",2008,"84",3685,2054,5739
"Mid-year population estimate",2008,"85",3500,1762,5262
"Mid-year population estimate",2008,"86",3121,1479,4600
"Mid-year population estimate",2008,"87",2737,1314,4051
"Mid-year population estimate",2008,"88",2394,1114,3508
"Mid-year population estimate",2008,"89",1800,807,2607
"Mid-year population estimate",2008,"90",6793,2109,8902
"Mid-year population estimate",2008,"All",908154,870998,1779152
"Mid-year population estimate",2009,"0",12276,12973,25249
"Mid-year population estimate",2009,"1",12417,13026,25443
"Mid-year population estimate",2009,"2",11774,12466,24240
"Mid-year population estimate",2009,"3",11351,11877,23228
"Mid-year population estimate",2009,"4",11052,11742,22794
"Mid-year population estimate",2009,"5",10826,11564,22390
"Mid-year population estimate",2009,"6",10661,11178,21839
"Mid-year population estimate",2009,"7",10712,11183,21895
"Mid-year population estimate",2009,"8",10770,11369,22139
"Mid-year population estimate",2009,"9",11065,11952,23017
"Mid-year population estimate",2009,"10",11691,12284,23975
"Mid-year population estimate",2009,"11",11832,12426,24258
"Mid-year population estimate",2009,"12",12118,12611,24729
"Mid-year population estimate",2009,"13",11830,12599,24429
"Mid-year population estimate",2009,"14",12031,12729,24760
